country_name,power_index,available_manpower,purchasing_power_parity,defense_budget,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,aircraft_total,attack,fighters,transport,helicopters,special_mission,trainers,attack_helicopters,tanker,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt
Afghanistan,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Albania,1.7258,1522479,51360000000,720037190,7500,0,650,2335,1000,20,0,0,1,19,0,0,0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0,10,0,270,5363000000
Algeria,0.4849,22570787,722912000000,25000000000,130000,150000,14000,280000,15000,620,42,111,63,300,10,90,74,4,111,0.0,0.0,0.0,8.0,8.0,6.0,75.0,3.0,1485,224,483,188,4764000000
Angola,1.1045,7440412,278239000000,31200000000,107000,0,6000,100000,1500,278,6,67,32,115,2,56,14,0,32,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,319,25,575,116,45299000000
Argentina,0.5983,20677529,1213000000000,993919790,108000,12370,14000,108000,18370,241,11,23,25,96,13,71,0,2,42,0.0,0.0,3.0,0.0,6.0,2.0,13.0,0.0,362,20,172,27,74362000000
Armenia,2.2016,1666988,60909000000,1480000000,65000,210000,5000,65000,0,69,14,4,3,36,0,12,20,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,104,193,100,6002000000
Australia,0.3208,11242811,1635000000000,57350000000,58910,33270,21584,44235,20607,348,71,24,37,72,31,107,22,6,45,0.0,2.0,3.0,7.0,0.0,6.0,13.0,3.0,46,0,48,8,3770254730000
Austria,1.3759,4035592,581131000000,6103900800,25000,125600,4300,141000,0,90,0,15,11,41,0,23,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,30,0,0,693000000000
Azerbaijan,1.1991,5218617,225198000000,5100000000,128000,306000,15000,110000,3000,159,20,12,4,87,0,36,16,0,32,0.0,0.0,0.0,0.0,0.0,4.0,17.0,4.0,1354,135,651,696,12378000000
Bahrain,1.6731,846120,93937000000,997015509,18400,110000,1500,130000,700,137,0,28,3,66,0,40,34,0,64,0.0,0.0,0.0,2.0,2.0,0.0,50.0,0.0,150,38,26,18,54450000000
Bangladesh,0.6517,82661620,1473000000000,3340000000,204000,0,19000,173408,22000,212,0,41,17,67,4,83,0,0,121,0.0,0.0,0.0,7.0,6.0,2.0,61.0,5.0,320,36,487,103,58020000000
Belarus,1.4072,5035769,265220000000,1034784000,63000,365400,11300,18000,0,194,50,43,4,70,0,27,31,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577,357,190,206,18010000000
Belgium,1.2201,4910830,749229000000,14900000000,26390,6600,5700,11547,1355,104,12,44,7,14,0,27,0,0,9,0.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,0,0,0,0,1594190730000
Belize,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Benin,3.8963,5584880,56424000000,137690000,4750,0,300,4750,200,7,0,0,1,5,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,16,0,6309000000
Bhutan,5.7991,203446,11517000000,26600000,16000,50000,0,66000,0,2,0,0,0,2,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2827000000
Bolivia,1.8301,5417269,122200000000,467670000,40000,40000,10000,43000,4500,67,0,0,15,29,2,20,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0,58,0,11174000000
Bosnia-herzegovina,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Botswana,2.9993,1029281,45553000000,581000000,12000,0,500,12000,0,45,0,10,9,16,0,10,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,12,36,20,1761000000
Brazil,0.2374,112226271,4165000000000,26400000000,376000,1340000,81000,1212217,80505,495,30,44,107,186,25,124,0,0,69,0.0,1.0,0.0,8.0,2.0,6.0,22.0,4.0,294,149,412,82,198582000000
Bulgaria,1.2522,3187850,219645000000,2485350000,36950,3000,8500,39950,4450,71,5,11,6,23,0,26,4,0,45,0.0,0.0,0.0,6.0,3.0,0.0,0.0,17.0,334,48,24,24,14277000000
Burundi,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Cambodia,1.8434,8190561,123676000000,750000000,124300,0,1500,75000,2800,24,0,0,4,20,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,520,30,525,521,8019000000
Cameroon,2.1689,10528476,143264000000,835694942,38000,0,420,47000,1000,35,0,0,6,21,2,6,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0,18,52,20,11112000000
Canada,0.5269,16681770,2341000000000,45824959620,63500,23000,15560,49300,16300,354,0,66,29,146,34,95,0,6,67,0.0,0.0,0.0,12.0,0.0,4.0,17.0,0.0,74,0,0,0,2571113270000
Central-african-republic,4.2381,2203873,5926000000,300000000,30000,0,100,30000,0,8,8,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,724179000
Chad,1.8594,6873694,52895000000,706800000,37750,0,350,37750,0,40,7,0,7,16,2,8,3,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,10,13,16,2286000000
Chile,0.8704,8959033,596556000000,6800000000,80000,40000,7645,80000,25000,274,0,45,33,86,18,92,0,5,130,0.0,0.0,0.0,8.0,0.0,4.0,40.0,0.0,386,48,249,9,235950000000
China,0.0919,764123366,33598000000000,303000000000,2035000,510000,403000,2545000,384000,3529,371,1443,287,1007,105,401,281,9,841,3.0,4.0,53.0,46.0,50.0,61.0,150.0,36.0,5870,2940,1400,2770,488114000000
Colombia,0.7551,24298295,978024000000,15800000000,429000,998000,25000,2048583,35100,430,24,16,82,255,27,72,0,1,213,0.0,0.0,0.0,9.0,2.0,4.0,158.0,0.0,0,6,110,0,108027000000
Croatia,1.5432,2033557,164825000000,2744000000,14325,20100,1500,7000,1365,67,0,12,0,37,0,26,0,0,30,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,55,25,42,42,60500000000
Cuba,1.3345,5921661,81165000000,3301500000,50000,40000,4120,90000,3550,20,0,11,4,13,0,3,4,0,19,0.0,0.0,0.0,1.0,1.0,0.0,6.0,4.0,194,140,364,200,36372600000
Cyprus,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Czechia,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Democratic-republic-of-the-congo,1.3051,39237029,164367000000,960000000,166580,30800,2550,103000,6700,56,6,0,10,38,0,2,9,0,16,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,212,16,125,81,7926000000
Denmark,0.8198,2628180,440558000000,14250000000,21000,12000,3475,88400,3600,122,19,26,4,34,3,36,0,0,50,0.0,0.0,0.0,9.0,0.0,0.0,9.0,6.0,44,19,0,8,611050000000
Djibouti,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Dominican-republic,2.5853,4975294,276884000000,903000000,89000,189000,6730,28750,13200,80,8,0,11,49,1,17,0,0,34,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,6,0,14,0,35044000000
Ecuador,1.4479,8422593,252728000000,2963400000,41250,118000,6200,25650,9400,99,0,0,20,43,8,34,0,0,30,0.0,0.0,0.0,2.0,6.0,2.0,5.0,0.0,202,5,106,24,39658000000
Egypt,0.3651,45611372,1958000000000,5193500000,438500,479000,50000,685000,50000,1088,90,242,53,348,11,344,100,0,149,0.0,2.0,0.0,13.0,7.0,8.0,61.0,17.0,3620,1056,962,648,117272000000
El-salvador,2.9973,3181777,73961000000,1037200000,25000,0,2000,20500,2000,51,15,0,3,28,0,10,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0,76,0,12668000000
Eritrea,2.6841,2220385,2534000000,219000000,350000,680000,250,275000,1100,20,0,1,5,13,0,1,6,0,23,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,148,45,89,44,461376000
Estonia,2.3201,584958,57001000000,2375000000,7700,230000,400,44000,550,2,0,0,2,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0,48,0,6,29040000000
Ethiopia,0.8525,56904143,380895000000,3720968976,503000,138000,5000,626000,11500,104,0,25,9,33,0,34,7,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338,142,469,79,25426000000
Finland,0.8673,2306830,313591000000,8890000000,24000,870000,41100,42000,6700,162,0,53,11,27,1,77,0,0,165,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,200,125,667,76,726000000000
France,0.1798,30084820,3732000000000,67232395000,264000,43444,44120,141600,47000,974,0,223,118,452,44,140,67,15,166,1.0,3.0,11.0,5.0,0.0,9.0,22.0,19.0,427,74,0,9,7691315390000
Gabon,3.0432,932940,48045000000,340950000,5000,0,900,4500,400,25,0,6,3,16,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,4,28,6442000000
Gambia,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Georgia,2.0779,2744538,91849000000,680000000,37000,205500,3000,205500,0,61,5,0,2,44,0,10,11,0,19,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,132,67,121,42,9085000000
Germany,0.2463,38694786,5247000000000,127400090000,184324,860000,27725,63000,15531,569,63,127,55,292,27,16,49,3,96,0.0,0.0,0.0,11.0,6.0,6.0,54.0,12.0,296,134,0,33,6862470230000
Ghana,2.4566,14873310,243124000000,954423756,15500,0,1860,55000,1200,18,0,0,2,9,2,5,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0,0,6,6,29241000000
Greece,0.5484,4916713,192205000000,8242150000,142700,221350,42500,200000,30000,560,0,178,17,285,8,86,28,0,186,0.0,0.0,0.0,14.0,0.0,9.0,45.0,3.0,1344,589,698,152,605000000000
Guatemala,2.1277,7484639,232673000000,616000000,106114,90000,2210,196114,3200,35,3,0,10,20,2,0,0,0,25,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0,0,110,0,11862000000
Guinea,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Guinea-bissau,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Honduras,2.2575,4192843,71297000000,612300000,52225,0,8520,83000,4000,45,7,6,10,11,1,10,0,0,98,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,22,0,48,0,7785000000
Hungary,1.0429,4632200,389207000000,5887250000,41600,20000,5750,32000,0,80,0,12,3,50,0,17,8,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,24,295,0,151250000000
Iceland,3.4013,83728,26561000000,500000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24200000000
India,0.1346,662290299,14244000000000,109000000000,1431000,1000000,289000,2148000,148869,2183,124,476,277,594,72,334,79,6,343,2.0,0.0,13.0,18.0,21.0,18.0,146.0,0.0,3913,100,5640,300,212728000000
Indonesia,0.2582,137965608,4102000000000,11155297716,404500,401000,30100,300400,66034,460,34,41,73,212,15,114,15,1,338,0.0,0.0,0.0,10.0,26.0,4.0,211.0,10.0,331,153,396,67,225273000000
Iran,0.3199,49496685,1486000000000,9230000000,610000,350000,37000,350000,20000,551,21,188,86,129,10,103,13,6,109,0.0,0.0,0.0,7.0,3.0,25.0,21.0,1.0,2675,424,1803,1550,6759000000
Iraq,0.8115,17675043,585887000000,8000000000,193000,0,5000,180000,3000,360,36,26,15,183,17,111,39,0,67,0.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,1188,434,610,572,15580000000
Ireland,2.0661,2407392,620544000000,1754400500,7557,1720,690,7705,800,23,0,0,5,8,2,8,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0,0,0,0,3630000000000
Israel,0.2707,3949099,472177000000,34600000000,169500,465000,89000,526000,19500,597,45,239,14,127,19,148,48,13,82,0.0,0.0,0.0,0.0,7.0,6.0,66.0,0.0,1300,323,171,228,163350000000
Italy,0.2211,27434219,3133000000000,37325165000,165500,18300,43000,97755,30000,714,65,88,31,352,22,152,37,8,285,2.0,0.0,3.0,14.0,0.0,8.0,15.0,10.0,203,64,108,21,3025000000000
Ivory-coast,2.3884,12292521,215018000000,18200000,22000,0,460,22000,1000,22,0,0,3,14,3,2,5,0,8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0,4,6,26576000000
Japan,0.1876,52976836,5715000000000,58000000000,251500,56000,50000,206700,50800,1429,47,217,53,583,135,399,118,10,158,0.0,4.0,41.0,8.0,0.0,23.0,6.0,18.0,734,193,480,99,5147667910000
Jordan,1.5581,3463947,109986000000,2668500000,114500,100000,14000,146000,5500,279,10,44,12,159,11,66,44,0,27,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1508,478,80,84,21058000000
Kazakhstan,1.0433,9117003,739385000000,5836386000,110000,135000,12000,80000,3000,168,13,37,21,72,0,25,12,0,26,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,353,126,194,287,25765000000
Kenya,1.8588,21551160,328632000000,1651803025,50000,0,4175,50000,2500,154,0,17,21,84,2,30,2,0,27,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,188,18,53,0,31451000000
Kosovo,3.8041,917371,25019000000,1177450000,4000,5000,0,9000,0,0,0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,785739000
Kuwait,1.7161,1726095,225947000000,7987000000,78000,24000,2500,103000,4000,133,0,47,2,68,0,13,16,3,123,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,367,51,0,27,60500000000
Kyrgyzstan,2.3969,3147772,50907000000,654000000,23000,0,500,20000,0,7,0,0,0,7,0,0,2,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215,30,174,21,3617000000
Laos,2.8672,3499565,66905000000,355600000,100000,30000,500,130000,2000,29,0,0,2,20,0,7,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160,50,97,64,9619000000
Latvia,2.2316,810561,72516000000,42000000,17870,38000,250,55870,1000,3,0,0,0,3,0,0,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0,47,0,0,48598440000
