country_name,power_index,available_manpower,purchasing_power_parity,defense_budget,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,aircraft_total,attack,fighters,transport,helicopters,special_mission,trainers,attack_helicopters,tanker,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessels,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt
Lebanon,2.6521,2092148,65415000000,800000000,80000,15000,2500,99000,1500,80,9,0,0,68,0,9,0,0,48,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,334,12,350,11,41619000000
Lesotho,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Liberia,3.9275,2392390,9308000000,20700000,2100,0,0,2100,300,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,0,0,1335000000
Libya,1.7872,3827857,90609000000,1474800000,32000,0,1000,85000,7500,83,1,10,12,22,0,35,4,0,5,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,55,20,38,25,3654200000
Lithuania,1.8949,1708321,136227000000,5651760000,23000,104000,1500,21000,700,9,0,0,5,4,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0,16,54,0,48400000000
Luxembourg,2.4429,154388,86871000000,1530685000,1200,0,0,1200,0,1,0,0,1,0,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5203000000000
Madagascar,3.0381,11192031,52968000000,147630000,13500,0,300,21600,500,6,0,0,1,5,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,12,0,17,0,3548000000
Malawi,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Malaysia,0.7379,16245461,1212000000000,5100000000,113000,51600,15000,130000,18000,132,11,25,15,45,6,31,0,4,100,0.0,0.0,0.0,2.0,4.0,2.0,72.0,4.0,48,0,196,36,8748000000
Mali,2.2598,6817088,71253000000,1110000000,40000,0,550,44800,0,44,12,9,8,10,1,4,8,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50,30,4085000000
Mauritania,2.7919,1687936,33069000000,270625000,31540,66000,1105,102540,1500,23,4,0,7,4,2,6,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,51,0,75,0,3072000000
Mauritius,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Mexico,0.6401,61447766,2883000000000,9100000000,387000,98653,30515,275443,92043,424,32,2,40,173,25,175,0,0,164,0.0,0.0,0.0,1.0,3.0,0.0,142.0,0.0,0,35,0,0,306308000000
Moldova,3.6225,2159717,39342000000,114114000,6500,2000,700,4000,0,3,0,0,1,2,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,67,11,2637000000
Mongolia,1.9987,1870555,59221000000,1590000000,35000,230000,1500,35000,0,8,0,0,3,3,0,2,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420,0,500,130,8379000000
Montenegro,2.9782,143964,17375000000,204000000,2350,0,480,1500,550,10,0,0,0,10,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0,0,12,12,3643000000
Morocco,1.0368,17946041,350594000000,16100000000,400000,250000,13000,500000,9300,271,0,84,31,73,4,77,6,2,100,0.0,0.0,0.0,6.0,1.0,0.0,84.0,0.0,1346,544,188,185,42262000000
Mozambique,1.9769,14674420,51786000000,480000000,11200,0,4000,11200,1000,23,2,8,5,7,0,1,2,0,36,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,60,0,104,12,8274000000
Myanmar,0.6265,30489384,287559000000,2815031361,228000,19000,25000,255000,30000,331,20,70,33,86,5,120,9,0,239,0.0,0.0,0.0,6.0,3.0,3.0,146.0,2.0,1040,225,1680,1520,8748000000
Namibia,2.7414,616805,31154000000,450498000,17567,0,1175,8500,3000,36,0,11,5,7,0,13,2,0,15,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,7,0,50,55,9680000000
Nepal,2.8037,15249970,149643000000,431355326,98500,82000,1000,97500,0,17,0,0,7,10,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,14,0,5719000000
Netherlands,0.6142,7997570,1276000000000,31791150000,44245,8510,9500,53212,24822,130,38,0,4,67,0,21,16,0,140,0.0,0.0,0.0,6.0,0.0,3.0,76.0,3.0,18,46,0,4,5257949730000
New-zealand,1.9258,2219321,257117000000,2455949332,10050,3300,2875,6345,2873,47,0,0,7,21,6,13,0,0,8,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0,0,31,0,230651410000
Nicaragua,2.5894,3271705,52989000000,1311600000,45000,0,815,42935,1250,17,0,0,5,12,0,1,0,0,23,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,186,0,347,151,6753000000
Niger,2.6867,7902835,47921000000,488400000,25000,0,1250,10000,0,26,2,0,7,13,2,0,2,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3793000000
Nigeria,0.6097,125475979,1318000000000,3900000000,230000,0,18000,1960000,11000,159,24,14,12,69,12,28,15,0,152,0.0,0.0,0.0,1.0,0.0,0.0,132.0,2.0,330,40,339,37,45009000000
North-korea,0.5933,9467520,15416000000,4750000000,1320000,560000,110000,1370000,60000,837,114,341,1,205,0,176,20,0,332,0.0,0.0,2.0,2.0,8.0,24.0,227.0,1.0,4895,1300,700,1500,6050000000
North-macedonia,2.4956,948216,43844000000,421527100,10010,60000,950,70011,0,20,0,0,0,10,0,10,4,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,156,18,5637000000
Norway,0.6679,2203893,507680000000,11189483200,33440,20100,3650,8735,4010,109,43,0,4,34,5,23,0,0,48,0.0,0.0,0.0,4.0,6.0,6.0,20.0,5.0,36,28,0,0,787758400000
Oman,1.8823,1482757,193591000000,8364000000,100000,0,6145,100000,4200,128,10,29,9,31,4,45,0,0,17,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,264,24,144,0,55986700000
Pakistan,0.2626,108516336,1390000000000,9102115350,660000,550000,78000,1311500,57500,1397,90,331,63,379,27,563,55,4,120,0.0,0.0,0.0,9.0,6.0,8.0,79.0,3.0,2677,662,2629,652,89148000000
Panama,3.5011,2011608,164484000000,1069750000,16300,0,500,80000,0,38,0,0,13,23,2,0,0,0,22,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0,0,0,0,1227085530000
Paraguay,1.7974,3535598,112919000000,416800000,15650,168500,1100,180000,5400,49,4,0,12,18,1,14,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,6,50,0,13783000000
Peru,0.8827,15648120,535911000000,2552000000,120000,386000,12100,92500,26000,252,22,15,39,112,12,68,16,0,78,0.0,0.0,0.0,7.0,8.0,6.0,13.0,0.0,355,12,290,61,38102000000
Philippines,0.6993,50859137,1202000000000,6571641011,160000,1500000,33600,1310000,42270,204,17,0,23,130,11,23,6,0,127,0.0,0.0,0.0,4.0,1.0,0.0,60.0,0.0,18,12,296,0,63241000000
Poland,0.3891,18985692,1649000000000,55865141600,250000,350000,16500,110000,8240,457,12,58,44,224,11,112,29,0,63,0.0,0.0,0.0,2.0,2.0,1.0,3.0,29.0,798,593,0,298,425641700000
Portugal,0.6659,5319863,556942000000,6760000000,25000,23500,6000,12000,7000,128,5,28,20,36,16,23,0,4,128,0.0,0.0,0.0,5.0,2.0,2.0,71.0,0.0,34,23,54,0,530000000000
Qatar,1.4096,638022,317064000000,11950000000,26550,4000,2000,12500,2500,263,6,115,12,85,0,45,24,0,125,0.0,0.0,0.0,0.0,4.0,0.0,107.0,0.0,62,46,12,16,205700000000
Republic-of-the-congo,2.6259,2256136,39147000000,933360000,10000,0,675,9325,0,14,0,2,4,8,0,0,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,3,38,30,6360000000
Romania,0.9558,9437041,774376000000,10230630000,90000,55000,11700,39250,6800,148,0,29,13,66,2,44,0,0,18,0.0,0.0,0.0,3.0,7.0,0.0,0.0,7.0,451,0,720,243,145200000000
Russia,0.0791,69002197,6089000000000,212638272000,1320000,2000000,203376,600000,160000,4237,698,861,458,1643,137,530,556,18,747,1.0,0.0,13.0,12.0,79.0,66.0,70.0,45.0,5630,3603,5920,2486,226475750000
Saudi-arabia,0.4473,19003104,2213000000000,63988055520,247000,0,30000,75000,13500,917,81,283,49,264,16,202,34,22,32,0.0,0.0,0.0,7.0,9.0,0.0,9.0,3.0,1085,380,557,327,248171000000
Senegal,2.8925,7162057,83183000000,777800000,17000,0,1000,15460,500,39,0,0,5,19,1,22,5,0,4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0,20,6,14985000000
Serbia,1.2938,3259584,177093000000,2770000000,22500,2000,3000,13200,0,115,17,11,3,51,0,33,4,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242,96,150,73,21726000000
Sierra-leone,3.9201,2006631,26728000000,450000000,13000,0,175,12575,250,1,0,0,0,1,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0,0,0,0,1451000000
Singapore,0.5272,3918498,800304000000,18000000000,51000,252500,13500,280000,9000,235,0,100,9,75,9,36,20,11,101,0.0,0.0,0.0,6.0,6.0,6.0,55.0,4.0,170,48,89,24,1884751660000
Slovakia,1.3911,2837461,218762000000,2900000000,20982,0,3200,18282,0,48,0,7,7,22,1,11,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,35,9,25,140360000000
Slovenia,1.9404,1006989,103118000000,1782000000,7000,26000,615,32035,350,40,0,0,5,16,0,23,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,54,17,18,0,60500000000
Somalia,3.7393,2993973,26770000000,870000000,30000,0,550,29150,500,6,0,0,0,6,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0,0,0,0,2563000000
South-africa,0.6843,27803618,870420000000,2877000000,68731,29350,13815,53872,7890,181,0,2,11,87,0,81,10,0,63,0.0,0.0,0.0,4.0,0.0,3.0,42.0,4.0,248,52,434,201,93879000000
South-korea,0.1642,26040900,2607000000000,44800000000,450000,3100000,65000,365000,70000,1540,98,242,40,827,35,335,113,4,215,0.0,2.0,14.0,18.0,3.0,22.0,96.0,14.0,1831,2780,5800,525,553871450000
South-sudan,2.4645,6351857,6752000000,30700000,185000,0,230,184120,325,19,0,0,4,15,0,0,6,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122,24,0,15,2722500000
Spain,0.3247,21748999,2361000000000,39000676350,121802,24033,23000,85978,20840,440,12,136,51,169,8,108,17,0,175,1.0,0.0,0.0,11.0,0.0,2.0,112.0,6.0,298,96,188,0,2830012130000
Sri-lanka,1.3822,10551652,301407000000,1500000000,346000,90000,26000,150000,40000,90,0,6,15,49,3,7,8,0,275,0.0,0.0,0.0,5.0,0.0,0.0,259.0,0.0,87,0,96,28,42198000000
Sudan,1.3563,26747657,94420000000,394700000,300000,200000,13000,485500,2000,183,36,37,13,64,0,33,35,0,10,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1055,100,1150,800,21650000000
Suriname,4.0538,142287,12316000000,58440000,2500,0,150,1000,250,3,0,0,0,3,0,0,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0,0,0,0,2645000000
Sweden,0.4834,4235934,668628000000,15900000000,25600,34000,8255,15300,2100,172,0,73,6,53,3,36,0,1,279,0.0,0.0,0.0,0.0,7.0,4.0,116.0,8.0,110,24,0,0,1102693570000
Switzerland,0.8396,3898653,741035000000,8372658426,147178,0,20000,127178,0,141,0,40,16,39,3,43,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134,133,0,0,2420000000000
Syria,1.8861,15273871,98858000000,145925000,100000,0,7500,100000,3250,104,5,52,2,39,0,8,7,0,12,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,168,60,0,0,4441250000
Taiwan,0.3927,12269542,1743000000000,31180000000,230000,1657000,125000,94000,107000,720,0,258,19,239,18,215,91,0,91,0.0,0.0,4.0,21.0,7.0,4.0,36.0,10.0,1090,488,1360,223,229900000000
Tajikistan,2.1749,4781269,50370000000,450460000,150000,600000,1200,9000,0,25,0,0,1,20,0,4,6,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,3,13,24,3024000000
Tanzania,1.9111,12143182,246706000000,1476113361,25000,0,1825,21975,1200,38,0,11,6,15,0,6,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,200,0,205,70,17513000000
Thailand,0.4458,36358919,1558000000000,6006660000,360850,200000,46000,245000,69850,496,26,73,52,258,25,134,7,0,304,0.0,1.0,0.0,7.0,5.0,0.0,254.0,5.0,744,59,595,17,37065000000
Tunisia,1.7823,6024424,156086000000,2172751250,89800,0,4500,150000,5000,155,0,10,12,101,4,28,0,0,37,0.0,0.0,0.0,1.0,1.0,0.0,30.0,0.0,145,0,105,0,21212000000
Turkiye,2.7342,15647405,82238000000,145000000,75000,0,0,165000,0,5,0,0,2,3,0,0,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1929750000
Turkmenistan,1.7459,2768681,134555000000,1463000000,36500,0,3000,42760,2000,91,27,22,5,26,0,11,10,0,16,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,654,73,457,164,3696000000
Uganda,2.3252,16756234,144137000000,1510000000,45000,0,1200,43800,0,51,0,6,3,30,0,12,6,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259,6,26,12,10469000000
Ukraine,0.3691,18187531,577583000000,45000000000,900000,4000000,35000,250000,11000,347,30,88,22,140,5,72,39,0,169,0.0,0.0,0.0,0.0,0.0,0.0,133.0,5.0,1121,682,625,288,90003000000
United-arab-emirates,1.0188,5818684,745994000000,23480000000,65000,130000,7000,44000,3000,581,40,99,35,250,27,151,30,5,84,0.0,0.0,0.0,0.0,11.0,0.0,34.0,2.0,354,165,99,49,290400000000
United-kingdom,0.1881,31491165,3636000000000,88526529585,141330,31940,34800,108413,37890,625,38,103,30,262,29,201,50,9,116,2.0,0.0,6.0,7.0,0.0,10.0,26.0,8.0,288,14,126,43,10553123900000
United-states-of-america,0.0741,150463900,25676000000000,831500000000,1333030,799500,708758,1174890,612124,13032,926,1791,917,5913,611,2610,1024,610,465,11.0,9.0,83.0,0.0,27.0,66.0,0.0,4.0,4666,1521,1878,1731,24538900710000
Uruguay,2.1537,1575652,108502000000,1903440000,24000,0,2850,15450,5700,43,6,0,6,12,5,12,0,2,16,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,62,16,83,4,54450000000
Uzbekistan,0.9908,18990708,379989000000,6210000000,120000,0,15000,95000,550,159,13,26,12,101,0,7,34,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470,177,236,108,25714000000
Venezuela,0.9106,15625153,110943000000,6060000000,109000,8000,10755,300745,25500,224,0,30,47,85,3,75,10,1,41,0.0,0.0,0.0,1.0,0.0,3.0,26.0,0.0,282,60,92,56,121363000000
Vietnam,0.4066,54994667,1456000000000,10200000000,450000,5000000,35000,5450000,50000,265,0,61,6,101,3,91,0,0,116,0.0,0.0,0.0,9.0,17.0,6.0,27.0,8.0,1999,30,3250,774,34426000000
Yemen,2.1617,12213368,18719000000,405187500,33350,0,3850,56350,3250,160,0,68,3,59,0,30,14,0,26,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0,12,60,30,6492000000
Zambia,2.4461,7279691,79207000000,385321000,15150,0,3745,13250,0,78,0,0,13,33,0,34,0,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,12,60,50,16597000000
Zimbabwe,2.2801,6517134,57391000000,1976800000,29000,0,5000,25000,0,80,9,9,14,28,0,20,6,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,0,0,0,6671000000
