Country Name,Power Index,Available Manpower,Purchasing Power Parity,Defense Budget,Active Personnel,Reserve Personnel,Air Force Personnel,Army Personnel,Navy Personnel,Aircraft Total,Attack,Fighters,Transport,Helicopters,Special-Mission,Trainers,Attack Helicopters,Tanker,Naval Assets,Aircraft Carriers,Helicopter Carriers,Destroyers,Frigates,Corvettes,Submarines,Patrol Vessels,Mine Warfare,Tanks,Self-Propelled Artillery,Towed Artillery,Rocket Artillery,External Debt
Afghanistan,2.7342,"15,647,405","$82,238,000,000 USD","$145,000,000 USD","75,000",0,0,"165,000",0,5,0 (0.0%),0 (0.0%),2 (40.0%),3 (60.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,"$1,929,750,000 USD"
Albania,1.7258,"1,522,479","$51,360,000,000 USD","$720,037,190 USD","7,500",0,650,"2,335","1,000",20,0 (0.0%),0 (0.0%),1 (5.0%),19 (95.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),33,0,0,0,0,0,0,33,0,0,10,0,270,"$5,363,000,000 USD"
Algeria,0.4849,"22,570,787","$722,912,000,000 USD","$25,000,000,000 USD","130,000","150,000","14,000","280,000","15,000",620,42 (6.8%),111 (17.9%),63 (10.2%),300 (48.4%),10 (1.6%),90 (14.5%),74 (11.9%),4 (0.6%),111,0,0,0,8,8,6,75,3,"1,485",224,483,188,"$4,764,000,000 USD"
Angola,1.1045,"7,440,412","$278,239,000,000 USD","$31,200,000,000 USD","107,000",0,"6,000","100,000","1,500",278,6 (2.2%),67 (24.1%),32 (11.5%),115 (41.4%),2 (0.7%),56 (20.1%),14 (5.0%),0 (0.0%),32,0,0,0,0,0,0,32,0,319,25,575,116,"$45,299,000,000 USD"
Argentina,0.5983,"20,677,529","$1,213,000,000,000 USD","$993,919,790 USD","108,000","12,370","14,000","108,000","18,370",241,11 (4.6%),23 (9.5%),25 (10.4%),96 (39.8%),13 (5.4%),71 (29.5%),0 (0.0%),2 (0.8%),42,0,0,3,0,6,2,13,0,362,20,172,27,"$74,362,000,000 USD"
Armenia,2.2016,"1,666,988","$60,909,000,000 USD","$1,480,000,000 USD","65,000","210,000","5,000","65,000",0,69,14 (20.3%),4 (5.8%),3 (4.3%),36 (52.2%),0 (0.0%),12 (17.4%),20 (29.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109,104,193,100,"$6,002,000,000 USD"
Australia,0.3208,"11,242,811","$1,635,000,000,000 USD","$57,350,000,000 USD","58,910","33,270","21,584","44,235","20,607",348,71 (20.4%),24 (6.9%),37 (10.6%),72 (20.7%),31 (8.9%),107 (30.7%),22 (6.3%),6 (1.7%),45,0,2,3,7,0,6,13,3,46,0,48,8,"$3,770,254,730,000 USD"
Austria,1.3759,"4,035,592","$581,131,000,000 USD","$6,103,900,800 USD","25,000","125,600","4,300","141,000",0,90,0 (0.0%),15 (16.7%),11 (12.2%),41 (45.6%),0 (0.0%),23 (25.6%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56,30,0,0,"$693,000,000,000 USD"
Azerbaijan,1.1991,"5,218,617","$225,198,000,000 USD","$5,100,000,000 USD","128,000","306,000","15,000","110,000","3,000",159,20 (12.6%),12 (7.5%),4 (2.5%),87 (54.7%),0 (0.0%),36 (22.6%),16 (10.1%),0 (0.0%),32,0,0,0,0,0,4,17,4,"1,354",135,651,696,"$12,378,000,000 USD"
Bahrain,1.6731,"846,120","$93,937,000,000 USD","$997,015,509 USD","18,400","110,000","1,500","130,000",700,137,0 (0.0%),28 (20.4%),3 (2.2%),66 (48.2%),0 (0.0%),40 (29.2%),34 (24.8%),0 (0.0%),64,0,0,0,2,2,0,50,0,150,38,26,18,"$54,450,000,000 USD"
Bangladesh,0.6517,"82,661,620","$1,473,000,000,000 USD","$3,340,000,000 USD","204,000",0,"19,000","173,408","22,000",212,0 (0.0%),41 (19.3%),17 (8.0%),67 (31.6%),4 (1.9%),83 (39.2%),0 (0.0%),0 (0.0%),121,0,0,0,7,6,2,61,5,320,36,487,103,"$58,020,000,000 USD"
Belarus,1.4072,"5,035,769","$265,220,000,000 USD","$1,034,784,000 USD","63,000","365,400","11,300","18,000",0,194,50 (25.8%),43 (22.2%),4 (2.1%),70 (36.1%),0 (0.0%),27 (13.9%),31 (16.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,577,357,190,206,"$18,010,000,000 USD"
Belgium,1.2201,"4,910,830","$749,229,000,000 USD","$14,900,000,000 USD","26,390","6,600","5,700","11,547","1,355",104,12 (11.5%),44 (42.3%),7 (6.7%),14 (13.5%),0 (0.0%),27 (26.0%),0 (0.0%),0 (0.0%),9,0,0,0,2,0,0,2,5,0,0,0,0,"$1,594,190,730,000 USD"
Belize,2.7342,"15,647,405","$82,238,000,000 USD","$145,000,000 USD","75,000",0,0,"165,000",0,5,0 (0.0%),0 (0.0%),2 (40.0%),3 (60.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,"$1,929,750,000 USD"
Benin,3.8963,"5,584,880","$56,424,000,000 USD","$137,690,000 USD","4,750",0,300,"4,750",200,7,0 (0.0%),0 (0.0%),1 (14.3%),5 (71.4%),1 (14.3%),0 (0.0%),0 (0.0%),0 (0.0%),2,0,0,0,0,0,0,2,0,0,0,16,0,"$6,309,000,000 USD"
Bhutan,5.7991,"203,446","$11,517,000,000 USD","$26,600,000 USD","16,000","50,000",0,"66,000",0,2,0 (0.0%),0 (0.0%),0 (0.0%),2 (100.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,"$2,827,000,000 USD"
Bolivia,1.8301,"5,417,269","$122,200,000,000 USD","$467,670,000 USD","40,000","40,000","10,000","43,000","4,500",67,0 (0.0%),0 (0.0%),15 (22.4%),29 (43.3%),2 (3.0%),20 (29.9%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,0,58,0,"$11,174,000,000 USD"
Bosnia-herzegovina,2.7342,"15,647,405","$82,238,000,000 USD","$145,000,000 USD","75,000",0,0,"165,000",0,5,0 (0.0%),0 (0.0%),2 (40.0%),3 (60.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,"$1,929,750,000 USD"
Botswana,2.9993,"1,029,281","$45,553,000,000 USD","$581,000,000 USD","12,000",0,500,"12,000",0,45,0 (0.0%),10 (22.2%),9 (20.0%),16 (35.6%),0 (0.0%),10 (22.2%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45,12,36,20,"$1,761,000,000 USD"
Brazil,0.2374,"112,226,271","$4,165,000,000,000 USD","$26,400,000,000 USD","376,000","1,340,000","81,000","1,212,217","80,505",495,30 (6.1%),44 (8.9%),107 (21.6%),186 (37.6%),25 (5.1%),124 (25.1%),0 (0.0%),0 (0.0%),69,0,1,0,8,2,6,22,4,294,149,412,82,"$198,582,000,000 USD"
Bulgaria,1.2522,"3,187,850","$219,645,000,000 USD","$2,485,350,000 USD","36,950","3,000","8,500","39,950","4,450",71,5 (7.0%),11 (15.5%),6 (8.5%),23 (32.4%),0 (0.0%),26 (36.6%),4 (5.6%),0 (0.0%),45,0,0,0,6,3,0,0,17,334,48,24,24,"$14,277,000,000 USD"
Burundi,2.7342,"15,647,405","$82,238,000,000 USD","$145,000,000 USD","75,000",0,0,"165,000",0,5,0 (0.0%),0 (0.0%),2 (40.0%),3 (60.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,"$1,929,750,000 USD"
Cambodia,1.8434,"8,190,561","$123,676,000,000 USD","$750,000,000 USD","124,300",0,"1,500","75,000","2,800",24,0 (0.0%),0 (0.0%),4 (16.7%),20 (83.3%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),20,0,0,0,0,0,0,20,0,520,30,525,521,"$8,019,000,000 USD"
Cameroon,2.1689,"10,528,476","$143,264,000,000 USD","$835,694,942 USD","38,000",0,420,"47,000","1,000",35,0 (0.0%),0 (0.0%),6 (17.1%),21 (60.0%),2 (5.7%),6 (17.1%),0 (0.0%),0 (0.0%),19,0,0,0,0,0,0,19,0,0,18,52,20,"$11,112,000,000 USD"
Canada,0.5269,"16,681,770","$2,341,000,000,000 USD","$45,824,959,620 USD","63,500","23,000","15,560","49,300","16,300",354,0 (0.0%),66 (18.6%),29 (8.2%),146 (41.2%),34 (9.6%),95 (26.8%),0 (0.0%),6 (1.7%),67,0,0,0,12,0,4,17,0,74,0,0,0,"$2,571,113,270,000 USD"
Central-african-republic,4.2381,"2,203,873","$5,926,000,000 USD","$300,000,000 USD","30,000",0,100,"30,000",0,8,8 (100.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,"$724,179,000 USD"
Chad,1.8594,"6,873,694","$52,895,000,000 USD","$706,800,000 USD","37,750",0,350,"37,750",0,40,7 (17.5%),0 (0.0%),7 (17.5%),16 (40.0%),2 (5.0%),8 (20.0%),3 (7.5%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,10,13,16,"$2,286,000,000 USD"
Chile,0.8704,"8,959,033","$596,556,000,000 USD","$6,800,000,000 USD","80,000","40,000","7,645","80,000","25,000",274,0 (0.0%),45 (16.4%),33 (12.0%),86 (31.4%),18 (6.6%),92 (33.6%),0 (0.0%),5 (1.8%),130,0,0,0,8,0,4,40,0,386,48,249,9,"$235,950,000,000 USD"
China,0.0919,"764,123,366","$33,598,000,000,000 USD","$303,000,000,000 USD","2,035,000","510,000","403,000","2,545,000","384,000","3,529",371 (10.5%),"1,443 (40.9%)",287 (8.1%),"1,007 (28.5%)",105 (3.0%),401 (11.4%),281 (8.0%),9 (0.3%),841,3,4,53,46,50,61,150,36,"5,870","2,940","1,400","2,770","$488,114,000,000 USD"
Colombia,0.7551,"24,298,295","$978,024,000,000 USD","$15,800,000,000 USD","429,000","998,000","25,000","2,048,583","35,100",430,24 (5.6%),16 (3.7%),82 (19.1%),255 (59.3%),27 (6.3%),72 (16.7%),0 (0.0%),1 (0.2%),213,0,0,0,9,2,4,158,0,0,6,110,0,"$108,027,000,000 USD"
Croatia,1.5432,"2,033,557","$164,825,000,000 USD","$2,744,000,000 USD","14,325","20,100","1,500","7,000","1,365",67,0 (0.0%),12 (17.9%),0 (0.0%),37 (55.2%),0 (0.0%),26 (38.8%),0 (0.0%),0 (0.0%),30,0,0,0,0,0,0,11,1,55,25,42,42,"$60,500,000,000 USD"
Cuba,1.3345,"5,921,661","$81,165,000,000 USD","$3,301,500,000 USD","50,000","40,000","4,120","90,000","3,550",20,0 (0.0%),11 (55.0%),4 (20.0%),13 (65.0%),0 (0.0%),3 (15.0%),4 (20.0%),0 (0.0%),19,0,0,0,1,1,0,6,4,194,140,364,200,"$36,372,600,000 USD"
Cyprus,2.7342,"15,647,405","$82,238,000,000 USD","$145,000,000 USD","75,000",0,0,"165,000",0,5,0 (0.0%),0 (0.0%),2 (40.0%),3 (60.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,"$1,929,750,000 USD"
Czechia,2.7342,"15,647,405","$82,238,000,000 USD","$145,000,000 USD","75,000",0,0,"165,000",0,5,0 (0.0%),0 (0.0%),2 (40.0%),3 (60.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,"$1,929,750,000 USD"
Democratic-republic-of-the-congo,1.3051,"39,237,029","$164,367,000,000 USD","$960,000,000 USD","166,580","30,800","2,550","103,000","6,700",56,6 (10.7%),0 (0.0%),10 (17.9%),38 (67.9%),0 (0.0%),2 (3.6%),9 (16.1%),0 (0.0%),16,0,0,0,0,0,0,16,0,212,16,125,81,"$7,926,000,000 USD"
Denmark,0.8198,"2,628,180","$440,558,000,000 USD","$14,250,000,000 USD","21,000","12,000","3,475","88,400","3,600",122,19 (15.6%),26 (21.3%),4 (3.3%),34 (27.9%),3 (2.5%),36 (29.5%),0 (0.0%),0 (0.0%),50,0,0,0,9,0,0,9,6,44,19,0,8,"$611,050,000,000 USD"
Djibouti,2.7342,"15,647,405","$82,238,000,000 USD","$145,000,000 USD","75,000",0,0,"165,000",0,5,0 (0.0%),0 (0.0%),2 (40.0%),3 (60.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,"$1,929,750,000 USD"
Dominican-republic,2.5853,"4,975,294","$276,884,000,000 USD","$903,000,000 USD","89,000","189,000","6,730","28,750","13,200",80,8 (10.0%),0 (0.0%),11 (13.8%),49 (61.3%),1 (1.3%),17 (21.3%),0 (0.0%),0 (0.0%),34,0,0,0,0,0,0,14,0,6,0,14,0,"$35,044,000,000 USD"
Ecuador,1.4479,"8,422,593","$252,728,000,000 USD","$2,963,400,000 USD","41,250","118,000","6,200","25,650","9,400",99,0 (0.0%),0 (0.0%),20 (20.2%),43 (43.4%),8 (8.1%),34 (34.3%),0 (0.0%),0 (0.0%),30,0,0,0,2,6,2,5,0,202,5,106,24,"$39,658,000,000 USD"
Egypt,0.3651,"45,611,372","$1,958,000,000,000 USD","$5,193,500,000 USD","438,500","479,000","50,000","685,000","50,000","1,088",90 (8.3%),242 (22.2%),53 (4.9%),348 (32.0%),11 (1.0%),344 (31.6%),100 (9.2%),0 (0.0%),149,0,2,0,13,7,8,61,17,"3,620","1,056",962,648,"$117,272,000,000 USD"
El-salvador,2.9973,"3,181,777","$73,961,000,000 USD","$1,037,200,000 USD","25,000",0,"2,000","20,500","2,000",51,15 (29.4%),0 (0.0%),3 (5.9%),28 (54.9%),0 (0.0%),10 (19.6%),0 (0.0%),0 (0.0%),13,0,0,0,0,0,0,8,0,0,0,76,0,"$12,668,000,000 USD"
Eritrea,2.6841,"2,220,385","$2,534,000,000 USD","$219,000,000 USD","350,000","680,000",250,"275,000","1,100",20,0 (0.0%),1 (5.0%),5 (25.0%),13 (65.0%),0 (0.0%),1 (5.0%),6 (30.0%),0 (0.0%),23,0,0,0,0,0,0,18,0,148,45,89,44,"$461,376,000 USD"
Estonia,2.3201,"584,958","$57,001,000,000 USD","$2,375,000,000 USD","7,700","230,000",400,"44,000",550,2,0 (0.0%),0 (0.0%),2 (100.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),8,0,0,0,0,0,0,4,4,0,48,0,6,"$29,040,000,000 USD"
Ethiopia,0.8525,"56,904,143","$380,895,000,000 USD","$3,720,968,976 USD","503,000","138,000","5,000","626,000","11,500",104,0 (0.0%),25 (24.0%),9 (8.7%),33 (31.7%),0 (0.0%),34 (32.7%),7 (6.7%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,338,142,469,79,"$25,426,000,000 USD"
Finland,0.8673,"2,306,830","$313,591,000,000 USD","$8,890,000,000 USD","24,000","870,000","41,100","42,000","6,700",162,0 (0.0%),53 (32.7%),11 (6.8%),27 (16.7%),1 (0.6%),77 (47.5%),0 (0.0%),0 (0.0%),165,0,0,0,0,0,0,8,18,200,125,667,76,"$726,000,000,000 USD"
France,0.1798,"30,084,820","$3,732,000,000,000 USD","$67,232,395,000 USD","264,000","43,444","44,120","141,600","47,000",974,0 (0.0%),223 (22.9%),118 (12.1%),452 (46.4%),44 (4.5%),140 (14.4%),67 (6.9%),15 (1.5%),166,1,3,11,5,0,9,22,19,427,74,0,9,"$7,691,315,390,000 USD"
Gabon,3.0432,"932,940","$48,045,000,000 USD","$340,950,000 USD","5,000",0,900,"4,500",400,25,0 (0.0%),6 (24.0%),3 (12.0%),16 (64.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),5,0,0,0,0,0,0,4,0,0,0,4,28,"$6,442,000,000 USD"
Gambia,2.7342,"15,647,405","$82,238,000,000 USD","$145,000,000 USD","75,000",0,0,"165,000",0,5,0 (0.0%),0 (0.0%),2 (40.0%),3 (60.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,"$1,929,750,000 USD"
Georgia,2.0779,"2,744,538","$91,849,000,000 USD","$680,000,000 USD","37,000","205,500","3,000","205,500",0,61,5 (8.2%),0 (0.0%),2 (3.3%),44 (72.1%),0 (0.0%),10 (16.4%),11 (18.0%),0 (0.0%),19,0,0,0,0,0,0,31,4,132,67,121,42,"$9,085,000,000 USD"
Germany,0.2463,"38,694,786","$5,247,000,000,000 USD","$127,400,090,000 USD","184,324","860,000","27,725","63,000","15,531",569,63 (11.1%),127 (22.3%),55 (9.7%),292 (51.3%),27 (4.7%),16 (2.8%),49 (8.6%),3 (0.5%),96,0,0,0,11,6,6,54,12,296,134,0,33,"$6,862,470,230,000 USD"
Ghana,2.4566,"14,873,310","$243,124,000,000 USD","$954,423,756 USD","15,500",0,"1,860","55,000","1,200",18,0 (0.0%),0 (0.0%),2 (11.1%),9 (50.0%),2 (11.1%),5 (27.8%),0 (0.0%),0 (0.0%),20,0,0,0,0,0,0,20,0,0,0,6,6,"$29,241,000,000 USD"
Greece,0.5484,"4,916,713","$192,205,000,000 USD","$8,242,150,000 USD","142,700","221,350","42,500","200,000","30,000",560,0 (0.0%),178 (31.8%),17 (3.0%),285 (50.9%),8 (1.4%),86 (15.4%),28 (5.0%),0 (0.0%),186,0,0,0,14,0,9,45,3,"1,344",589,698,152,"$605,000,000,000 USD"
Guatemala,2.1277,"7,484,639","$232,673,000,000 USD","$616,000,000 USD","106,114","90,000","2,210","196,114","3,200",35,3 (8.6%),0 (0.0%),10 (28.6%),20 (57.1%),2 (5.7%),0 (0.0%),0 (0.0%),0 (0.0%),25,0,0,0,0,0,0,20,0,0,0,110,0,"$11,862,000,000 USD"
Guinea,2.7342,"15,647,405","$82,238,000,000 USD","$145,000,000 USD","75,000",0,0,"165,000",0,5,0 (0.0%),0 (0.0%),2 (40.0%),3 (60.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,"$1,929,750,000 USD"
Guinea-bissau,2.7342,"15,647,405","$82,238,000,000 USD","$145,000,000 USD","75,000",0,0,"165,000",0,5,0 (0.0%),0 (0.0%),2 (40.0%),3 (60.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,"$1,929,750,000 USD"
Honduras,2.2575,"4,192,843","$71,297,000,000 USD","$612,300,000 USD","52,225",0,"8,520","83,000","4,000",45,7 (15.6%),6 (13.3%),10 (22.2%),11 (24.4%),1 (2.2%),10 (22.2%),0 (0.0%),0 (0.0%),98,0,0,0,0,0,0,93,0,22,0,48,0,"$7,785,000,000 USD"
Hungary,1.0429,"4,632,200","$389,207,000,000 USD","$5,887,250,000 USD","41,600","20,000","5,750","32,000",0,80,0 (0.0%),12 (15.0%),3 (3.8%),50 (62.5%),0 (0.0%),17 (21.3%),8 (10.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220,24,295,0,"$151,250,000,000 USD"
Iceland,3.4013,"83,728","$26,561,000,000 USD","$500,000,000 USD",0,0,0,0,0,0,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0,0,0,0,0,0,0,0,0,0,0,0,0,"$24,200,000,000 USD"
India,0.1346,"662,290,299","$14,244,000,000,000 USD","$109,000,000,000 USD","1,431,000","1,000,000","289,000","2,148,000","148,869","2,183",124 (5.7%),476 (21.8%),277 (12.7%),594 (27.2%),72 (3.3%),334 (15.3%),79 (3.6%),6 (0.3%),343,2,0,13,18,21,18,146,0,"3,913",100,"5,640",300,"$212,728,000,000 USD"
Indonesia,0.2582,"137,965,608","$4,102,000,000,000 USD","$11,155,297,716 USD","404,500","401,000","30,100","300,400","66,034",460,34 (7.4%),41 (8.9%),73 (15.9%),212 (46.1%),15 (3.3%),114 (24.8%),15 (3.3%),1 (0.2%),338,0,0,0,10,26,4,211,10,331,153,396,67,"$225,273,000,000 USD"
Iran,0.3199,"49,496,685","$1,486,000,000,000 USD","$9,230,000,000 USD","610,000","350,000","37,000","350,000","20,000",551,21 (3.8%),188 (34.1%),86 (15.6%),129 (23.4%),10 (1.8%),103 (18.7%),13 (2.4%),6 (1.1%),109,0,0,0,7,3,25,21,1,"2,675",424,"1,803","1,550","$6,759,000,000 USD"
Iraq,0.8115,"17,675,043","$585,887,000,000 USD","$8,000,000,000 USD","193,000",0,"5,000","180,000","3,000",360,36 (10.0%),26 (7.2%),15 (4.2%),183 (50.8%),17 (4.7%),111 (30.8%),39 (10.8%),0 (0.0%),67,0,0,0,0,1,0,55,0,"1,188",434,610,572,"$15,580,000,000 USD"
Ireland,2.0661,"2,407,392","$620,544,000,000 USD","$1,754,400,500 USD","7,557","1,720",690,"7,705",800,23,0 (0.0%),0 (0.0%),5 (21.7%),8 (34.8%),2 (8.7%),8 (34.8%),0 (0.0%),0 (0.0%),8,0,0,0,0,0,0,8,0,0,0,0,0,"$3,630,000,000,000 USD"
Israel,0.2707,"3,949,099","$472,177,000,000 USD","$34,600,000,000 USD","169,500","465,000","89,000","526,000","19,500",597,45 (7.5%),239 (40.0%),14 (2.3%),127 (21.3%),19 (3.2%),148 (24.8%),48 (8.0%),13 (2.2%),82,0,0,0,0,7,6,66,0,"1,300",323,171,228,"$163,350,000,000 USD"
Italy,0.2211,"27,434,219","$3,133,000,000,000 USD","$37,325,165,000 USD","165,500","18,300","43,000","97,755","30,000",714,65 (9.1%),88 (12.3%),31 (4.3%),352 (49.3%),22 (3.1%),152 (21.3%),37 (5.2%),8 (1.1%),285,2,0,3,14,0,8,15,10,203,64,108,21,"$3,025,000,000,000 USD"
Ivory-coast,2.3884,"12,292,521","$215,018,000,000 USD","$18,200,000 USD","22,000",0,460,"22,000","1,000",22,0 (0.0%),0 (0.0%),3 (13.6%),14 (63.6%),3 (13.6%),2 (9.1%),5 (22.7%),0 (0.0%),8,0,0,0,0,0,0,7,0,0,0,4,6,"$26,576,000,000 USD"
Japan,0.1876,"52,976,836","$5,715,000,000,000 USD","$58,000,000,000 USD","251,500","56,000","50,000","206,700","50,800","1,429",47 (3.3%),217 (15.2%),53 (3.7%),583 (40.8%),135 (9.4%),399 (27.9%),118 (8.3%),10 (0.7%),158,0,4,41,8,0,23,6,18,734,193,480,99,"$5,147,667,910,000 USD"
Jordan,1.5581,"3,463,947","$109,986,000,000 USD","$2,668,500,000 USD","114,500","100,000","14,000","146,000","5,500",279,10 (3.6%),44 (15.8%),12 (4.3%),159 (57.0%),11 (3.9%),66 (23.7%),44 (15.8%),0 (0.0%),27,0,0,0,0,0,0,27,0,"1,508",478,80,84,"$21,058,000,000 USD"
Kazakhstan,1.0433,"9,117,003","$739,385,000,000 USD","$5,836,386,000 USD","110,000","135,000","12,000","80,000","3,000",168,13 (7.7%),37 (22.0%),21 (12.5%),72 (42.9%),0 (0.0%),25 (14.9%),12 (7.1%),0 (0.0%),26,0,0,0,0,0,0,23,2,353,126,194,287,"$25,765,000,000 USD"
Kenya,1.8588,"21,551,160","$328,632,000,000 USD","$1,651,803,025 USD","50,000",0,"4,175","50,000","2,500",154,0 (0.0%),17 (11.0%),21 (13.6%),84 (54.5%),2 (1.3%),30 (19.5%),2 (1.3%),0 (0.0%),27,0,0,0,0,0,0,18,0,188,18,53,0,"$31,451,000,000 USD"
Kosovo,3.8041,"917,371","$25,019,000,000 USD","$1,177,450,000 USD","4,000","5,000",0,"9,000",0,0,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,"$785,739,000 USD"
Kuwait,1.7161,"1,726,095","$225,947,000,000 USD","$7,987,000,000 USD","78,000","24,000","2,500","103,000","4,000",133,0 (0.0%),47 (35.3%),2 (1.5%),68 (51.1%),0 (0.0%),13 (9.8%),16 (12.0%),3 (2.3%),123,0,0,0,0,0,0,106,0,367,51,0,27,"$60,500,000,000 USD"
Kyrgyzstan,2.3969,"3,147,772","$50,907,000,000 USD","$654,000,000 USD","23,000",0,500,"20,000",0,7,0 (0.0%),0 (0.0%),0 (0.0%),7 (100.0%),0 (0.0%),0 (0.0%),2 (28.6%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,215,30,174,21,"$3,617,000,000 USD"
Laos,2.8672,"3,499,565","$66,905,000,000 USD","$355,600,000 USD","100,000","30,000",500,"130,000","2,000",29,0 (0.0%),0 (0.0%),2 (6.9%),20 (69.0%),0 (0.0%),7 (24.1%),0 (0.0%),0 (0.0%),100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,160,50,97,64,"$9,619,000,000 USD"
Latvia,2.2316,"810,561","$72,516,000,000 USD","$42,000,000 USD","17,870","38,000",250,"55,870","1,000",3,0 (0.0%),0 (0.0%),0 (0.0%),3 (100.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),18,0,0,0,0,0,0,11,6,0,47,0,0,"$48,598,440,000 USD"
